股票代码,现价,昨收,策略数量,策略名称
600322.SH,,2.71,3,"strategy_check_breakout_batch, strategy_top_gainers, strategy_plate_breakout_post_close"
601212.SH,,3.19,3,"strategy_check_breakout_batch, strategy_top_gainers, strategy_plate_breakout_post_close"
600844.SH,,3.36,1,strategy_top_gainers
600751.SH,,3.38,2,"strategy_check_breakout_batch, strategy_plate_breakout_post_close"
002485.SZ,,3.39,1,strategy_plate_breakout_post_close
000889.SZ,,3.6,1,strategy_top_gainers
600939.SH,,3.67,1,strategy_plate_breakout_post_close
000036.SZ,,3.73,1,strategy_plate_breakout_post_close
002716.SZ,,3.89,1,strategy_plate_breakout_post_close
002775.SZ,,3.95,1,strategy_plate_breakout_post_close
600800.SH,,4.36,1,strategy_top_gainers
600382.SH,,5.55,2,"strategy_check_breakout_batch, strategy_plate_breakout_post_close"
000599.SZ,,5.61,1,strategy_top_gainers
000159.SZ,,5.68,1,strategy_plate_breakout_post_close
002629.SZ,,5.73,1,strategy_plate_breakout_post_close
000665.SZ,,5.74,1,strategy_plate_breakout_post_close
002491.SZ,,5.98,1,strategy_plate_breakout_post_close
002546.SZ,,6.02,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
000735.SZ,,6.09,1,strategy_plate_breakout_post_close
600232.SH,,6.36,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
000701.SZ,,6.66,1,strategy_plate_breakout_post_close
600151.SH,,7.22,1,strategy_top_gainers
600531.SH,,7.68,2,"strategy_check_breakout_batch, strategy_plate_breakout_post_close"
002298.SZ,,7.95,1,strategy_plate_breakout_post_close
603018.SH,,8.08,1,strategy_plate_breakout_post_close
000525.SZ,,8.13,1,strategy_plate_breakout_post_close
000533.SZ,,8.2,1,strategy_plate_breakout_post_close
002082.SZ,,8.3,1,strategy_plate_breakout_post_close
000506.SZ,,8.92,1,strategy_plate_breakout_post_close
002153.SZ,,9.01,1,strategy_top_gainers
600735.SH,,9.26,1,strategy_plate_breakout_post_close
002037.SZ,,9.4,2,"strategy_check_breakout_batch, strategy_plate_breakout_post_close"
603937.SH,,10.43,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
002319.SZ,,10.78,1,strategy_plate_breakout_post_close
603680.SH,,11.51,1,strategy_top_gainers
002951.SZ,,12.34,1,strategy_plate_breakout_post_close
605122.SH,,12.79,2,"strategy_check_breakout_batch, strategy_plate_breakout_post_close"
000815.SZ,,13.59,1,strategy_top_gainers
603032.SH,,14.58,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
000603.SZ,,15.4,1,strategy_top_gainers
000426.SZ,,15.42,1,strategy_plate_breakout_post_close
600459.SH,,15.47,1,strategy_plate_breakout_post_close
603276.SH,,16.31,1,strategy_plate_breakout_post_close
002213.SZ,,16.49,1,strategy_plate_breakout_post_close
603810.SH,,16.75,1,strategy_plate_breakout_post_close
603151.SH,,17.12,1,strategy_plate_breakout_post_close
002741.SZ,,17.15,1,strategy_plate_breakout_post_close
603829.SH,,17.61,1,strategy_plate_breakout_post_close
603045.SH,,18.54,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
603042.SH,,18.67,1,strategy_plate_breakout_post_close
603093.SH,,18.69,2,"strategy_check_breakout_batch, strategy_plate_breakout_post_close"
603585.SH,,19.06,2,"strategy_check_breakout_batch, strategy_plate_breakout_post_close"
603310.SH,,20.14,1,strategy_plate_breakout_post_close
600161.SH,,20.15,1,strategy_plate_breakout_post_close
301026.SZ,,25.45,1,strategy_top_gainers
603508.SH,,27.84,1,strategy_plate_breakout_post_close
871634.BJ,,29.08,1,strategy_top_gainers
002605.SZ,,30.8,1,strategy_plate_breakout_post_close
002827.SZ,,31.03,1,strategy_plate_breakout_post_close
835207.BJ,,32.0,1,strategy_top_gainers
002978.SZ,,32.54,1,strategy_plate_breakout_post_close
605099.SH,,36.53,2,"strategy_check_breakout_batch, strategy_plate_breakout_post_close"
603083.SH,,45.11,1,strategy_plate_breakout_post_close
301306.SZ,,49.89,1,strategy_top_gainers
002992.SZ,,61.72,1,strategy_top_gainers
605123.SH,,64.16,1,strategy_plate_breakout_post_close
