股票代码,昨收,策略数量,策略得分,建议持有期,策略名称
603937.SH,10.43,5,5.6000000000000005,5,"strategy_top_gainers, strategy_plate_breakout_post_close, strategy_consolidation_breakout_preparation, strategy_ma_convergence_start, strategy_macd_divergent_gold_cross"
600261.SH,3.33,4,4.8,5,"strategy_consolidation_breakout_preparation, strategy_box_bottom_rebound, strategy_ma_convergence_start, strategy_macd_divergent_gold_cross"
600361.SH,3.98,4,4.8,5,"strategy_box_bottom_rebound, strategy_ma_convergence_start, strategy_macd_divergent_gold_cross, strategy_annual_line_breakout"
601669.SH,4.88,4,4.8,5,"strategy_consolidation_breakout_preparation, strategy_box_bottom_rebound, strategy_ma_convergence_start, strategy_macd_divergent_gold_cross"
002320.SZ,6.05,4,4.8,5,"strategy_consolidation_breakout_preparation, strategy_box_bottom_rebound, strategy_ma_convergence_start, strategy_macd_divergent_gold_cross"
603993.SH,7.59,4,4.8,5,"strategy_consolidation_breakout_preparation, strategy_ma_convergence_start, strategy_macd_divergent_gold_cross, strategy_annual_line_breakout"
000036.SZ,3.73,4,4.6000000000000005,5,"strategy_plate_breakout_post_close, strategy_consolidation_breakout_preparation, strategy_ma_convergence_start, strategy_macd_divergent_gold_cross"
000159.SZ,5.68,4,4.6000000000000005,5,"strategy_plate_breakout_post_close, strategy_consolidation_breakout_preparation, strategy_ma_convergence_start, strategy_macd_divergent_gold_cross"
000735.SZ,6.09,4,4.6000000000000005,5,"strategy_plate_breakout_post_close, strategy_consolidation_breakout_preparation, strategy_macd_divergent_gold_cross, strategy_annual_line_breakout"
002319.SZ,10.78,4,4.6000000000000005,5,"strategy_plate_breakout_post_close, strategy_consolidation_breakout_preparation, strategy_ma_convergence_start, strategy_macd_divergent_gold_cross"
002978.SZ,32.54,4,4.6000000000000005,5,"strategy_plate_breakout_post_close, strategy_consolidation_breakout_preparation, strategy_ma_convergence_start, strategy_macd_divergent_gold_cross"
603032.SH,14.58,4,4.4,5,"strategy_top_gainers, strategy_plate_breakout_post_close, strategy_ma_convergence_start, strategy_annual_line_breakout"
601212.SH,3.19,4,4.2,5,"strategy_check_breakout_batch, strategy_top_gainers, strategy_plate_breakout_post_close, strategy_consolidation_breakout_preparation"
601992.SH,1.56,3,3.5999999999999996,5,"strategy_box_bottom_rebound, strategy_ma_convergence_start, strategy_macd_divergent_gold_cross"
601588.SH,1.72,3,3.5999999999999996,5,"strategy_box_bottom_rebound, strategy_ma_convergence_start, strategy_macd_divergent_gold_cross"
600512.SH,2.28,3,3.5999999999999996,5,"strategy_box_bottom_rebound, strategy_ma_convergence_start, strategy_macd_divergent_gold_cross"
600170.SH,2.41,3,3.5999999999999996,5,"strategy_box_bottom_rebound, strategy_ma_convergence_start, strategy_annual_line_breakout"
601975.SH,2.74,3,3.5999999999999996,5,"strategy_box_bottom_rebound, strategy_ma_convergence_start, strategy_macd_divergent_gold_cross"
000008.SZ,2.85,3,3.5999999999999996,5,"strategy_box_bottom_rebound, strategy_ma_convergence_start, strategy_macd_divergent_gold_cross"
601618.SH,2.95,3,3.5999999999999996,5,"strategy_box_bottom_rebound, strategy_ma_convergence_start, strategy_macd_divergent_gold_cross"
603778.SH,3.26,3,3.5999999999999996,5,"strategy_box_bottom_rebound, strategy_ma_convergence_start, strategy_macd_divergent_gold_cross"
600423.SH,3.34,3,3.5999999999999996,5,"strategy_box_bottom_rebound, strategy_ma_convergence_start, strategy_macd_divergent_gold_cross"
600425.SH,3.79,3,3.5999999999999996,5,"strategy_box_bottom_rebound, strategy_ma_convergence_start, strategy_macd_divergent_gold_cross"
000796.SZ,3.83,3,3.5999999999999996,5,"strategy_consolidation_breakout_preparation, strategy_ma_convergence_start, strategy_annual_line_breakout"
