股票代码,现价,昨收,策略数量,策略名称
000010,,3.59,,
000401,,5.6,,
000672,,10.36,,
000679,,8.27,,
000683,,5.7,,
000789,,7.1,,
000877,,6.06,,
002037,,11.73,,
002067,,4.58,,
002097,,9.7,,
002132,,4.1,,
002205,,13.56,,
002226,,6.92,,
002233,,8.72,,
002266,,4.06,,
002297,,9.57,,
002302,,7.29,,
002360,,6.42,,
002370,,5.2,,
002398,,5.91,,
002457,,13.23,,
002534,,13.94,,
002542,,4.61,,
002578,,3.66,,
002628,,5.64,,
002671,,5.32,,
002783,,10.96,,
002883,,13.87,,
003037,,10.55,,
600117,,2.85,,
600143,,12.3,,
600268,,10.86,,
600326,,11.59,,
600376,,2.92,,
600425,,4.5,,
600528,,9.1,,
600581,,3.88,,
600596,,9.91,,
600629,,11.58,,
600678,,11.64,,
600720,,9.0,,
600773,,12.27,,
600802,,5.88,,
600815,,3.34,,
600829,,9.5,,
600930,,7.73,,
600939,,3.98,,
600984,,3.8,,
601003,,7.41,,
601005,,1.65,,
601179,,7.47,,
601399,,3.72,,
601669,,6.15,,
601868,,2.81,,
601992,,1.8,,
603165,,12.69,,
603176,,6.48,,
603227,,9.11,,
603616,,5.46,,
603916,,11.56,,
603966,,11.69,,
833873,,11.52,,
920682,,12.9,,
