股票代码,现价,昨收,策略数量,策略名称
002146,,1.4,1,strategy_box_bottom_rebound
000656,,1.47,1,strategy_box_bottom_rebound
601992,,1.56,1,strategy_ma_convergence_start
600606,,1.71,1,strategy_ma_convergence_start
601588,,1.72,2,"strategy_ma_convergence_start, strategy_macd_divergent_gold_cross"
600231,,1.73,2,"strategy_ma_convergence_start, strategy_macd_divergent_gold_cross"
603077,,1.79,1,strategy_ma_convergence_start
002005,,1.81,1,strategy_ma_convergence_start
002482,,1.84,2,"strategy_ma_convergence_start, strategy_macd_divergent_gold_cross"
601929,,1.85,1,strategy_ma_convergence_start
000517,,1.86,1,strategy_macd_divergent_gold_cross
002024,,1.86,1,strategy_box_bottom_rebound
600653,,1.9,1,strategy_box_bottom_rebound
600569,,1.93,1,strategy_ma_convergence_start
600518,,1.95,1,strategy_box_bottom_rebound
000980,,2.05,1,strategy_box_bottom_rebound
000882,,2.07,1,strategy_box_bottom_rebound
000709,,2.16,1,strategy_box_bottom_rebound
600136,,2.17,1,strategy_ma_convergence_start
600691,,2.18,1,strategy_ma_convergence_start
601996,,2.18,1,strategy_ma_convergence_start
600400,,2.19,1,strategy_box_bottom_rebound
600759,,2.2,1,strategy_ma_convergence_start
002506,,2.21,1,strategy_box_bottom_rebound
601868,,2.24,1,strategy_ma_convergence_start
002217,,2.25,2,"strategy_consolidation_breakout_preparation, strategy_ma_convergence_start"
600512,,2.28,1,strategy_ma_convergence_start
002321,,2.29,1,strategy_box_bottom_rebound
600076,,2.31,1,strategy_ma_convergence_start
000069,,2.34,1,strategy_box_bottom_rebound
000727,,2.36,1,strategy_box_bottom_rebound
002638,,2.37,1,strategy_consolidation_breakout_preparation
600227,,2.38,1,strategy_ma_convergence_start
600935,,2.38,1,strategy_ma_convergence_start
600726,,2.39,1,strategy_box_bottom_rebound
600170,,2.41,1,strategy_ma_convergence_start
600715,,2.41,3,"strategy_consolidation_breakout_preparation, strategy_ma_convergence_start, strategy_macd_divergent_gold_cross"
000552,,2.43,1,strategy_ma_convergence_start
000564,,2.43,1,strategy_box_bottom_rebound
600376,,2.45,1,strategy_ma_convergence_start
002486,,2.52,1,strategy_ma_convergence_start
601388,,2.53,1,strategy_ma_convergence_start
601011,,2.55,1,strategy_ma_convergence_start
600503,,2.56,1,strategy_box_bottom_rebound
002314,,2.58,1,strategy_ma_convergence_start
600208,,2.61,1,strategy_ma_convergence_start
600166,,2.63,1,strategy_box_bottom_rebound
600159,,2.65,1,strategy_ma_convergence_start
601778,,2.65,1,strategy_ma_convergence_start
000031,,2.66,1,strategy_ma_convergence_start
600617,,2.67,2,"strategy_ma_convergence_start, strategy_macd_divergent_gold_cross"
002247,,2.7,2,"strategy_ma_convergence_start, strategy_macd_divergent_gold_cross"
002426,,2.7,1,strategy_box_bottom_rebound
600322,,2.71,3,"strategy_check_breakout_batch, strategy_top_gainers, strategy_plate_breakout_post_close"
002528,,2.73,2,"strategy_ma_convergence_start, strategy_macd_divergent_gold_cross"
002495,,2.74,1,strategy_ma_convergence_start
601975,,2.74,2,"strategy_box_bottom_rebound, strategy_ma_convergence_start"
600816,,2.75,1,strategy_ma_convergence_start
600179,,2.76,1,strategy_box_bottom_rebound
002554,,2.78,1,strategy_consolidation_breakout_preparation
600226,,2.78,1,strategy_box_bottom_rebound
000402,,2.82,1,strategy_ma_convergence_start
002622,,2.84,1,strategy_ma_convergence_start
000008,,2.85,1,strategy_ma_convergence_start
600675,,2.89,1,strategy_ma_convergence_start
002239,,2.9,1,strategy_box_bottom_rebound
002607,,2.93,1,strategy_box_bottom_rebound
601016,,2.95,1,strategy_ma_convergence_start
601618,,2.95,1,strategy_ma_convergence_start
600108,,2.98,1,strategy_ma_convergence_start
002589,,2.99,1,strategy_ma_convergence_start
002586,,3.0,1,strategy_box_bottom_rebound
000592,,3.05,2,"strategy_ma_convergence_start, strategy_macd_divergent_gold_cross"
