股票代码,现价,昨收,策略数量,策略名称
000333,,71.8,1,strategy_v_shape_ma_breakout
000596,,137.29,1,strategy_v_shape_ma_breakout
000737,,11.3,1,strategy_v_shape_ma_breakout
000975,,18.55,1,strategy_v_shape_ma_breakout
001389,,66.18,1,strategy_v_shape_ma_breakout
002001,,21.62,1,strategy_v_shape_ma_breakout
002170,,10.87,1,strategy_v_shape_ma_breakout
002215,,10.57,1,strategy_v_shape_ma_breakout
002270,,16.54,1,strategy_v_shape_ma_breakout
002290,,30.84,1,strategy_v_shape_ma_breakout
002463,,47.81,1,strategy_v_shape_ma_breakout
002592,,6.56,1,strategy_v_shape_ma_breakout
002595,,58.43,1,strategy_v_shape_ma_breakout
002602,,13.32,1,strategy_v_shape_ma_breakout
002648,,17.35,1,strategy_v_shape_ma_breakout
002714,,45.1,1,strategy_v_shape_ma_breakout
002739,,11.46,1,strategy_v_shape_ma_breakout
002801,,33.5,1,strategy_v_shape_ma_breakout
002847,,79.7,1,strategy_v_shape_ma_breakout
002920,,102.48,1,strategy_v_shape_ma_breakout
003006,,26.99,1,strategy_v_shape_ma_breakout
003041,,28.54,1,strategy_v_shape_ma_breakout
600285,,23.18,1,strategy_v_shape_ma_breakout
600609,,5.29,1,strategy_v_shape_ma_breakout
600660,,56.8,1,strategy_v_shape_ma_breakout
600988,,23.85,1,strategy_v_shape_ma_breakout
600989,,15.94,1,strategy_v_shape_ma_breakout
601126,,17.12,1,strategy_v_shape_ma_breakout
603103,,16.9,1,strategy_v_shape_ma_breakout
603129,,240.97,1,strategy_v_shape_ma_breakout
603173,,36.99,1,strategy_v_shape_ma_breakout
603202,,100.02,1,strategy_v_shape_ma_breakout
603259,,69.7,1,strategy_v_shape_ma_breakout
603337,,34.82,1,strategy_v_shape_ma_breakout
603379,,46.2,1,strategy_v_shape_ma_breakout
603444,,331.99,1,strategy_v_shape_ma_breakout
603486,,58.2,1,strategy_v_shape_ma_breakout
603529,,36.6,1,strategy_v_shape_ma_breakout
603619,,19.66,1,strategy_v_shape_ma_breakout
603699,,30.42,1,strategy_v_shape_ma_breakout
603766,,12.94,1,strategy_v_shape_ma_breakout
603816,,24.9,1,strategy_v_shape_ma_breakout
603893,,148.3,1,strategy_v_shape_ma_breakout
605099,,35.1,1,strategy_v_shape_ma_breakout
605499,,305.66,1,strategy_v_shape_ma_breakout
605599,,16.61,1,strategy_v_shape_ma_breakout
689009,,59.19,1,strategy_v_shape_ma_breakout
