股票代码,现价,策略名称
000010.SZ,3.12,['strategy_macd_golden_cross']
600831.SH,3.24,['strategy_macd_golden_cross']
002969.SZ,4.07,['strategy_top_gainers']
002701.SZ,5.74,['strategy_macd_golden_cross']
000070.SZ,6.85,['strategy_macd_golden_cross']
002082.SZ,7.85,['strategy_top_gainers']
002177.SZ,8.11,['strategy_top_gainers']
603177.SH,8.57,['strategy_macd_golden_cross']
601519.SH,9.26,['strategy_macd_golden_cross']
603823.SH,12.31,['strategy_macd_golden_cross']
603159.SH,15.59,['strategy_macd_golden_cross']
600562.SH,27.22,['strategy_macd_golden_cross']
605099.SH,33.85,['strategy_top_gainers']
603173.SH,36.56,['strategy_macd_golden_cross']
603307.SH,38.43,['strategy_macd_golden_cross']
002595.SZ,63.53,['strategy_macd_golden_cross']
