股票代码,现价,昨收,策略数量,策略名称
002486.SZ,,2.57,1,strategy_macd_golden_cross
603557.SH,,3.16,1,strategy_macd_golden_cross
000509.SZ,,3.28,1,strategy_macd_golden_cross
002141.SZ,,3.36,1,strategy_macd_golden_cross
002370.SZ,,3.59,1,strategy_top_gainers
002969.SZ,,3.7,2,"strategy_check_breakout_batch, strategy_top_gainers"
002634.SZ,,4.11,1,strategy_macd_golden_cross
600601.SH,,4.29,1,strategy_top_gainers
002659.SZ,,4.86,1,strategy_macd_golden_cross
603176.SH,,4.95,2,"strategy_check_breakout_batch, strategy_top_gainers"
002546.SZ,,4.97,1,strategy_top_gainers
000665.SZ,,5.0,1,strategy_top_gainers
002491.SZ,,5.17,2,"strategy_top_gainers, strategy_macd_golden_cross"
000530.SZ,,5.49,1,strategy_top_gainers
000701.SZ,,5.5,1,strategy_top_gainers
002712.SZ,,5.58,1,strategy_macd_golden_cross
002587.SZ,,6.1,1,strategy_macd_golden_cross
002446.SZ,,6.76,1,strategy_macd_golden_cross
001258.SZ,,6.88,1,strategy_top_gainers
603113.SH,,6.89,1,strategy_macd_golden_cross
002658.SZ,,6.91,2,"strategy_check_breakout_batch, strategy_macd_golden_cross"
603660.SH,,6.95,1,strategy_macd_golden_cross
600589.SH,,6.99,1,strategy_top_gainers
605066.SH,,7.1,1,strategy_top_gainers
600037.SH,,7.71,1,strategy_top_gainers
002115.SZ,,7.79,1,strategy_top_gainers
002057.SZ,,8.35,1,strategy_macd_golden_cross
603106.SH,,8.91,1,strategy_top_gainers
605299.SH,,9.01,2,"strategy_check_breakout_batch, strategy_top_gainers"
002951.SZ,,10.2,1,strategy_top_gainers
600739.SH,,10.85,1,strategy_macd_golden_cross
600818.SH,,10.97,1,strategy_macd_golden_cross
605018.SH,,11.65,1,strategy_top_gainers
002184.SZ,,11.86,1,strategy_top_gainers
600178.SH,,12.34,1,strategy_macd_golden_cross
605298.SH,,12.56,1,strategy_top_gainers
603679.SH,,12.89,1,strategy_top_gainers
000426.SZ,,14.09,1,strategy_macd_golden_cross
000532.SZ,,15.02,1,strategy_macd_golden_cross
603585.SH,,15.75,2,"strategy_top_gainers, strategy_macd_golden_cross"
002957.SZ,,15.91,1,strategy_macd_golden_cross
301197.SZ,,16.36,1,strategy_top_gainers
603151.SH,,17.12,1,strategy_macd_golden_cross
603595.SH,,18.36,1,strategy_macd_golden_cross
001231.SZ,,19.38,1,strategy_macd_golden_cross
601138.SH,,19.43,1,strategy_macd_golden_cross
002932.SZ,,19.51,1,strategy_top_gainers
001222.SZ,,19.9,1,strategy_macd_golden_cross
002265.SZ,,20.47,1,strategy_top_gainers
001379.SZ,,20.59,2,"strategy_top_gainers, strategy_macd_golden_cross"
831175.BJ,,22.66,1,strategy_top_gainers
002981.SZ,,23.72,1,strategy_top_gainers
301377.SZ,,27.58,1,strategy_top_gainers
002384.SZ,,29.9,1,strategy_macd_golden_cross
002466.SZ,,30.37,1,strategy_macd_golden_cross
301306.SZ,,37.43,1,strategy_top_gainers
603083.SH,,38.03,1,strategy_top_gainers
002335.SZ,,38.6,1,strategy_top_gainers
601628.SH,,38.98,1,strategy_macd_golden_cross
001389.SZ,,48.48,1,strategy_top_gainers
603991.SH,,57.99,1,strategy_top_gainers
301196.SZ,,61.9,1,strategy_top_gainers
603392.SH,,71.24,1,strategy_top_gainers
839493.BJ,,139.9,1,strategy_top_gainers
603129.SH,,186.0,1,strategy_macd_golden_cross
