ts_code,name
000026.SZ,飞亚达
688648.SH,中邮科技
688136.SH,科兴制药
603056.SH,德邦股份
603879.SH,永悦科技
688455.SH,科捷智能
605005.SH,合兴股份
603306.SH,华懋科技
605388.SH,均瑶健康
001277.SZ,速达股份
600006.SH,东风股份
002550.SZ,千红制药
001332.SZ,锡装股份
603193.SH,润本股份
603630.SH,拉芳家化
000826.SZ,启迪环境
603221.SH,爱丽家居
600684.SH,珠江股份
605339.SH,南侨食品
600468.SH,百利电气
002907.SZ,华森制药
600573.SH,惠泉啤酒
002633.SZ,申科股份
603390.SH,通达电气
002289.SZ,*ST宇顺
002898.SZ,*ST赛隆
600081.SH,东风科技
603065.SH,宿迁联盛
000677.SZ,恒天海龙
002574.SZ,明牌珠宝
603577.SH,汇金通
603931.SH,格林达
603535.SH,嘉诚国际
002847.SZ,盐津铺子
603332.SH,苏州龙杰
002867.SZ,周大生
000565.SZ,渝三峡Ａ
601825.SH,沪农商行
603955.SH,大千生态
002644.SZ,佛慈制药
002946.SZ,新乳业
600495.SH,晋西车轴
002094.SZ,青岛金王
603900.SH,莱绅通灵
000566.SZ,海南海药
605188.SH,国光连锁
001268.SZ,联合精密
605337.SH,李子园
603681.SH,永冠新材
603906.SH,龙蟠科技
000639.SZ,西王食品
002900.SZ,哈三联
603697.SH,有友食品
601579.SH,会稽山
603256.SH,宏和科技
603365.SH,水星家纺
603607.SH,京华激光
002615.SZ,哈尔斯
002165.SZ,红 宝 丽
002717.SZ,ST岭南
600993.SH,马应龙
002650.SZ,ST加加
001212.SZ,中旗新材
605599.SH,菜百股份
002275.SZ,桂林三金
002200.SZ,*ST交投
002191.SZ,劲嘉股份
001390.SZ,C古麒
001230.SZ,劲旅环境
000989.SZ,九芝堂
600249.SH,两面针
002387.SZ,维信诺
000838.SZ,财信发展
002809.SZ,红墙股份
603388.SH,*ST元成
002461.SZ,珠江啤酒
002693.SZ,*ST双成
002080.SZ,中材科技
688799.SH,华纳药厂
600200.SH,*ST苏吴
000609.SZ,*ST中迪
002278.SZ,神开股份
600530.SH,交大昂立
605336.SH,帅丰电器
002168.SZ,*ST惠程
600753.SH,*ST庚星
600419.SH,天润乳业
605198.SH,安德利
600793.SH,宜宾纸业
002467.SZ,二六三
605300.SH,佳禾食品
002630.SZ,ST华西
603192.SH,XD汇得科
000888.SZ,峨眉山Ａ
002099.SZ,海翔药业
603194.SH,中力股份
688686.SH,奥普特
603102.SH,百合股份
600774.SH,汉商集团
002923.SZ,润都股份
600743.SH,华远控股
002467.SZ,二六三
600193.SH,*ST创兴
002808.SZ,*ST恒久
600152.SH,维科技术
688686.SH,奥普特
002612.SZ,朗姿股份
000523.SZ,红棉股份
688513.SH,苑东生物
605016.SH,百龙创园
002246.SZ,北化股份
600794.SH,保税科技
603398.SH,*ST沐邦
600189.SH,泉阳泉
688656.SH,浩欧博
688108.SH,赛诺医疗
603208.SH,江山欧派
002958.SZ,青农商行
688153.SH,唯捷创芯
000545.SZ,金浦钛业
000716.SZ,黑芝麻
600543.SH,莫高股份
600610.SH,中毅达
603959.SH,ST百利
002262.SZ,恩华药业
002286.SZ,保龄宝
603096.SH,XD新经典
688708.SH,佳驰科技
603855.SH,华荣股份
002422.SZ,科伦药业
603650.SH,彤程新材
002310.SZ,东方园林
600686.SH,金龙汽车
001313.SZ,粤海饲料
002082.SZ,万邦德
002743.SZ,富煌钢构
600223.SH,福瑞达
003030.SZ,祖名股份
600439.SH,瑞贝卡
002437.SZ,誉衡药业
603007.SH,*ST花王
001318.SZ,阳光乳业
603730.SH,岱美股份
600664.SH,哈药股份
002570.SZ,贝因美
600805.SH,悦达投资
002020.SZ,京新药业
000729.SZ,燕京啤酒
605199.SH,ST葫芦娃
603590.SH,康辰药业
603686.SH,福龙马
605009.SH,豪悦护理
688326.SH,经纬恒润-W
002313.SZ,日海智能
603167.SH,渤海轮渡
002565.SZ,顺灏股份
002580.SZ,圣阳股份
688661.SH,和林微纳
603308.SH,应流股份
002664.SZ,信质集团
002116.SZ,中国海诚
002596.SZ,海南瑞泽
601008.SH,连云港
002490.SZ,山东墨龙
603665.SH,康隆达
603123.SH,翠微股份
600673.SH,东阳光
000903.SZ,云内动力
001219.SZ,青岛食品
688070.SH,纵横股份
600252.SH,中恒集团
603938.SH,三孚股份
600638.SH,新黄浦
002735.SZ,王子新材
002793.SZ,罗欣药业
603836.SH,海程邦达
688488.SH,艾迪药业
000691.SZ,*ST亚太
688192.SH,迪哲医药-U
001367.SZ,海森药业
002864.SZ,盘龙药业
688011.SH,新光光电
688176.SH,亚虹医药-U
002695.SZ,煌上煌
600276.SH,恒瑞医药
603818.SH,曲美家居
600166.SH,福田汽车
600397.SH,安源煤业
000710.SZ,贝瑞基因
605338.SH,巴比食品
600884.SH,杉杉股份
605366.SH,宏柏新材
003020.SZ,立方制药
002170.SZ,芭田股份
600080.SH,金花股份
003010.SZ,若羽臣
002378.SZ,章源钨业
605069.SH,正和生态
688578.SH,艾力斯
002965.SZ,祥鑫科技
605069.SH,正和生态
688578.SH,艾力斯
688566.SH,吉贝尔
002965.SZ,祥鑫科技
688383.SH,新益昌
002481.SZ,双塔食品
002640.SZ,跨境通
603333.SH,尚纬股份
603682.SH,锦和商管
601187.SH,厦门银行
000420.SZ,吉林化纤
688251.SH,井松智能
002393.SZ,力生制药
000848.SZ,承德露露
000546.SZ,金圆股份
688553.SH,汇宇制药-W
688052.SH,纳芯微
002785.SZ,万里石
002653.SZ,海思科
600676.SH,交运股份
002723.SZ,小崧股份
002277.SZ,友阿股份
600482.SH,中国动力
603008.SH,喜临门
